Measured unit,Wavelength (m)
204.439043,204.439043e-9
204.4458819,204.4458819e-9
204.4527205,204.4527205e-9
204.4595587,204.4595587e-9
204.4663965,204.4663965e-9
204.473234,204.473234e-9
204.480071,204.480071e-9
204.4869077,204.4869077e-9
204.493744,204.493744e-9
204.50058,204.50058e-9
204.5074155,204.5074155e-9
204.5142507,204.5142507e-9
204.5210855,204.5210855e-9
204.5279199,204.5279199e-9
204.5347539,204.5347539e-9
204.5415876,204.5415876e-9
204.5484209,204.5484209e-9
204.5552538,204.5552538e-9
204.5620863,204.5620863e-9
204.5689184,204.5689184e-9
204.5757502,204.5757502e-9
204.5825816,204.5825816e-9
204.5894126,204.5894126e-9
204.5962432,204.5962432e-9
204.6030735,204.6030735e-9
204.6099033,204.6099033e-9
204.6167328,204.6167328e-9
204.6235619,204.6235619e-9
204.6303907,204.6303907e-9
204.637219,204.637219e-9
204.644047,204.644047e-9
204.6508746,204.6508746e-9
204.6577018,204.6577018e-9
204.6645287,204.6645287e-9
204.6713551,204.6713551e-9
204.6781812,204.6781812e-9
204.6850069,204.6850069e-9
204.6918322,204.6918322e-9
204.6986572,204.6986572e-9
204.7054818,204.7054818e-9
204.7123059,204.7123059e-9
204.7191298,204.7191298e-9
204.7259532,204.7259532e-9
204.7327762,204.7327762e-9
204.7395989,204.7395989e-9
204.7464212,204.7464212e-9
204.7532431,204.7532431e-9
204.7600647,204.7600647e-9
204.7668858,204.7668858e-9
204.7737066,204.7737066e-9
204.780527,204.780527e-9
204.787347,204.787347e-9
204.7941667,204.7941667e-9
204.8009859,204.8009859e-9
204.8078048,204.8078048e-9
204.8146233,204.8146233e-9
204.8214415,204.8214415e-9
204.8282592,204.8282592e-9
204.8350766,204.8350766e-9
204.8418936,204.8418936e-9
204.8487102,204.8487102e-9
204.8555264,204.8555264e-9
204.8623423,204.8623423e-9
204.8691578,204.8691578e-9
204.8759729,204.8759729e-9
204.8827876,204.8827876e-9
204.8896019,204.8896019e-9
204.8774116,204.8774116e-9
204.8843669,204.8843669e-9
204.8913217,204.8913217e-9
204.8982762,204.8982762e-9
204.9052303,204.9052303e-9
204.912184,204.912184e-9
204.9191373,204.9191373e-9
204.9260902,204.9260902e-9
204.9330428,204.9330428e-9
204.939995,204.939995e-9
204.9469468,204.9469468e-9
204.9538982,204.9538982e-9
204.9608493,204.9608493e-9
204.9677999,204.9677999e-9
204.9747502,204.9747502e-9
204.9817001,204.9817001e-9
204.9886496,204.9886496e-9
204.9955987,204.9955987e-9
205.0025475,205.0025475e-9
205.0094959,205.0094959e-9
205.0164438,205.0164438e-9
205.0233915,205.0233915e-9
205.0303387,205.0303387e-9
205.0372855,205.0372855e-9
205.044232,205.044232e-9
205.0511781,205.0511781e-9
205.0581238,205.0581238e-9
205.0650691,205.0650691e-9
205.0720141,205.0720141e-9
205.0789586,205.0789586e-9
205.0859028,205.0859028e-9
205.0928466,205.0928466e-9
205.09979,205.09979e-9
205.1067331,205.1067331e-9
205.1136757,205.1136757e-9
205.120618,205.120618e-9
205.1275599,205.1275599e-9
205.1345014,205.1345014e-9
205.1414425,205.1414425e-9
205.1483833,205.1483833e-9
205.1553236,205.1553236e-9
205.1622636,205.1622636e-9
205.1692032,205.1692032e-9
205.1761425,205.1761425e-9
205.1830813,205.1830813e-9
205.1900198,205.1900198e-9
205.1969579,205.1969579e-9
