Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
203.38693,2.03387E-07,0,1,0
203.393688,2.03394E-07,0,1,0
203.400446,2.034E-07,0,1,0
203.407204,2.03407E-07,0,1,0
203.413961,2.03414E-07,0,1,0
203.420718,2.03421E-07,0,1,0
203.427474,2.03427E-07,0,1,0
203.43423,2.03434E-07,0,1,0
203.439968,2.0344E-07,0,1,0
203.440986,2.03441E-07,0,1,0
203.446862,2.03447E-07,0,1,0
203.447741,2.03448E-07,0,1,0
203.453756,2.03454E-07,0,1,0
203.460649,2.03461E-07,0,1,0
203.467542,2.03468E-07,0,1,0
203.474434,2.03474E-07,0,1,0
203.481326,2.03481E-07,0,1,0
203.488218,2.03488E-07,0,1,0
203.495109,2.03495E-07,0,1,0
203.502,2.03502E-07,0,1,0
203.508891,2.03509E-07,0,1,0
203.515781,2.03516E-07,0,1,0
203.522671,2.03523E-07,0,1,0
203.529561,2.0353E-07,0,1,0
203.53645,2.03536E-07,0,1,0
203.543338,2.03543E-07,0,1,0
203.550227,2.0355E-07,0,1,0
203.557115,2.03557E-07,0,1,0
203.564002,2.03564E-07,0,1,0
203.570889,2.03571E-07,0,1,0
203.577776,2.03578E-07,0,1,0
203.584663,2.03585E-07,0,1,0
203.591549,2.03592E-07,0,1,0
203.598435,2.03598E-07,0,1,0
